"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Colin logs in with valid credentials","SUCCESS","2021-11-07T15:06:40.151426738Z[Etc/UTC]","0.0","27.84"
"Login","Login on with invalid credentials","SUCCESS","2021-11-07T15:07:08.504337598Z[Etc/UTC]","0.0","26.86"
"Managing the cart","Colin adds items to the cart","SUCCESS","2021-11-07T15:06:39.713556279Z[Etc/UTC]","0.0","55.02"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2021-11-07T15:07:34.809089869Z[Etc/UTC]","0.0","9.76"
"Managing the cart","Colin adds several items to the cart","SUCCESS","2021-11-07T15:07:44.600116781Z[Etc/UTC]","0.0","5.91"
"Managing the cart","Colin removes an item from the cart on the product catalog page","SUCCESS","2021-11-07T15:07:50.52566538Z[Etc/UTC]","0.0","6.39"
"Managing the cart","Colin removes an item from the cart overview","SUCCESS","2021-11-07T15:07:56.925927708Z[Etc/UTC]","0.0","5.52"
"Managing the cart","Colin views the details of a product and adds it to his cart","SUCCESS","2021-11-07T15:08:02.450697613Z[Etc/UTC]","0.0","3.72"
"Managing the cart","Colin adds some items to the cart and reviews his cart contents","SUCCESS","2021-11-07T15:08:06.188856489Z[Etc/UTC]","0.0","2.84"
"Managing the cart","Colin reviews his cart but wants to continue shopping","SUCCESS","2021-11-07T15:08:09.042256031Z[Etc/UTC]","0.0","1.99"
"Browse the catalog","Colin reviews our range of products","SUCCESS","2021-11-07T15:06:39.561792453Z[Etc/UTC]","0.0","33.2"
"Browse the catalog","Colin views information about each product","SUCCESS","2021-11-07T15:07:13.256063806Z[Etc/UTC]","0.0","28.17"
"Browse the catalog","Colin views the details for specific products","SUCCESS","2021-11-07T15:07:41.538168942Z[Etc/UTC]","0.0","22.08"
"Browse the catalog","Sort products","SUCCESS","2021-11-07T15:08:03.636463711Z[Etc/UTC]","0.0","11.56"
"Completing a purchase","Colin enters incomplete name and address info","SUCCESS","2021-11-07T15:06:39.832305294Z[Etc/UTC]","0.0","69.69"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2021-11-07T15:07:49.5401907Z[Etc/UTC]","0.0","5.63"
"Completing a purchase","Colin confirms his order and is told that the items have been dispatched","SUCCESS","2021-11-07T15:07:55.187802867Z[Etc/UTC]","0.0","4.82"
"Calculating sales tax","Colin sees the correctly calculated sales tax for his order","SUCCESS","2021-11-07T15:06:40.408677851Z[Etc/UTC]","0.0","50.68"
"Calculating sales tax","Colin purchases two items so the total tax calculated includes tax for both items","SUCCESS","2021-11-07T15:07:31.138604455Z[Etc/UTC]","0.0","10.14"
