"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin adds items to the cart","SUCCESS","2021-11-26T14:30:34.593944203Z[Etc/UTC]","0.0","67.46"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2021-11-26T14:31:42.095772386Z[Etc/UTC]","0.0","5.8"
"Managing the cart","Colin adds several items to the cart","SUCCESS","2021-11-26T14:31:47.95581961Z[Etc/UTC]","0.0","7.19"
"Managing the cart","Colin removes an item from the cart on the product catalog page 2","SUCCESS","2021-11-26T14:31:55.226867994Z[Etc/UTC]","0.0","5.84"
"Managing the cart","Colin removes an item from the cart overview","SUCCESS","2021-11-26T14:32:01.157827623Z[Etc/UTC]","0.0","4.41"
"Managing the cart","Colin views the details of a product and adds it to his cart 2","SUCCESS","2021-11-26T14:32:05.584598837Z[Etc/UTC]","0.0","3.51"
"Managing the cart","Colin sees every item he has added in the cart","SUCCESS","2021-11-26T14:32:09.118642152Z[Etc/UTC]","0.0","2.69"
"Completing a purchase","Colin enters incomplete name and address info","SUCCESS","2021-11-26T14:30:34.481487993Z[Etc/UTC]","0.0","77.84"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2021-11-26T14:31:52.365179349Z[Etc/UTC]","0.0","5.96"
"Completing a purchase","Colin confirms his order and is told that the items have been dispatched","SUCCESS","2021-11-26T14:31:58.372175827Z[Etc/UTC]","0.0","5.02"
"Calculating sales tax","Colin sees the correctly calculated sales tax for his order","SUCCESS","2021-11-26T14:30:34.579579903Z[Etc/UTC]","0.0","50.84"
"Calculating sales tax","Colin purchases two items so the total tax calculated includes tax for both items","SUCCESS","2021-11-26T14:31:25.471804542Z[Etc/UTC]","0.0","5.59"
