"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin adds items to the cart","SUCCESS","2021-11-07T17:16:50.997284106Z[Etc/UTC]","0.0","65.98"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2021-11-07T17:17:57.072923075Z[Etc/UTC]","0.0","7.78"
"Managing the cart","Colin adds several items to the cart","SUCCESS","2021-11-07T17:18:04.903032425Z[Etc/UTC]","0.0","6.0"
"Managing the cart","Colin removes an item from the cart on the product catalog page","SUCCESS","2021-11-07T17:18:10.915981927Z[Etc/UTC]","0.0","6.36"
"Managing the cart","Colin removes an item from the cart overview","SUCCESS","2021-11-07T17:18:17.301527688Z[Etc/UTC]","0.0","4.13"
"Managing the cart","Colin views the details of a product and adds it to his cart","SUCCESS","2021-11-07T17:18:21.469601295Z[Etc/UTC]","0.0","4.35"
"Managing the cart","Colin adds some items to the cart and reviews his cart contents","SUCCESS","2021-11-07T17:18:25.843947247Z[Etc/UTC]","0.0","2.87"
"Managing the cart","Colin reviews his cart but wants to continue shopping","SUCCESS","2021-11-07T17:18:28.722849573Z[Etc/UTC]","0.0","2.56"
"Completing a purchase","Colin enters incomplete name and address info","SUCCESS","2021-11-07T17:16:50.556811404Z[Etc/UTC]","0.0","78.51"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2021-11-07T17:18:09.107972753Z[Etc/UTC]","0.0","6.54"
"Completing a purchase","Colin confirms his order and is told that the items have been dispatched","SUCCESS","2021-11-07T17:18:15.670310704Z[Etc/UTC]","0.0","5.42"
"Calculating sales tax","Colin sees the correctly calculated sales tax for his order","SUCCESS","2021-11-07T17:16:50.514253851Z[Etc/UTC]","0.0","56.22"
"Calculating sales tax","Colin purchases two items so the total tax calculated includes tax for both items","SUCCESS","2021-11-07T17:17:46.759010736Z[Etc/UTC]","0.0","12.57"
