"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin removes an item from the cart overview","SUCCESS","2022-02-16T10:15:52.411741221Z[Etc/UTC]","0.0","3.83"
"Managing the cart","Colin views the details of a product and adds it to his cart 2","SUCCESS","2022-02-16T10:15:56.350426538Z[Etc/UTC]","0.0","3.97"
"Managing the cart","Colin sees every item he has added in the cart","SUCCESS","2022-02-16T10:16:00.427962304Z[Etc/UTC]","0.0","3.44"
"Browse the catalog","Colin reviews our range of products","SUCCESS","2022-02-16T10:16:04.121322664Z[Etc/UTC]","0.0","3.08"
"Browse the catalog","Colin views the details for specific products","SUCCESS","2022-02-16T10:16:11.834904354Z[Etc/UTC]","0.0","11.84"
"Browse the catalog","Sort products","SUCCESS","2022-02-16T10:16:23.682345221Z[Etc/UTC]","0.0","11.09"
"Filtering products","Sort products","SUCCESS","2022-02-16T10:16:34.885235137Z[Etc/UTC]","0.0","12.07"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2022-02-16T10:15:19.698156437Z[Etc/UTC]","0.0","2.17"
"Completing a purchase","Colin confirms his order and is told that the items have been dispatched","SUCCESS","2022-02-16T10:15:21.878877507Z[Etc/UTC]","0.0","2.07"
"Calculating sales tax","Colin sees the correctly calculated sales tax for his order","SUCCESS","2022-02-16T10:15:24.61568507Z[Etc/UTC]","0.0","4.96"
