"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin removes an item from the cart overview","SUCCESS","2022-02-12T09:35:07.577147047Z[Etc/UTC]","0.0","3.86"
"Managing the cart","Colin views the details of a product and adds it to his cart 2","SUCCESS","2022-02-12T09:35:11.540702178Z[Etc/UTC]","0.0","3.78"
"Managing the cart","Colin sees every item he has added in the cart","SUCCESS","2022-02-12T09:35:15.436714646Z[Etc/UTC]","0.0","3.2"
"Browse the catalog","Colin reviews our range of products","SUCCESS","2022-02-12T09:35:18.920324066Z[Etc/UTC]","0.0","2.98"
"Browse the catalog","Colin views the details for specific products","SUCCESS","2022-02-12T09:35:26.149283472Z[Etc/UTC]","0.0","11.07"
"Browse the catalog","Sort products","SUCCESS","2022-02-12T09:35:37.230630245Z[Etc/UTC]","0.0","9.91"
"Completing a purchase","Colin enters incomplete name and address info","SUCCESS","2022-02-12T09:34:21.270025898Z[Etc/UTC]","0.0","14.49"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2022-02-12T09:34:35.775246108Z[Etc/UTC]","0.0","2.02"
"Completing a purchase","Colin confirms his order and is told that the items have been dispatched","SUCCESS","2022-02-12T09:34:37.802836654Z[Etc/UTC]","0.0","2.04"
"Calculating sales tax","Colin sees the correctly calculated sales tax for his order","SUCCESS","2022-02-12T09:34:40.605947056Z[Etc/UTC]","0.0","4.93"
