"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login on with invalid credentials","SUCCESS","2021-11-18T17:48:29.688541914Z[Etc/UTC]","0.0","24.83"
"Managing the cart","Colin adds items to the cart","SUCCESS","2021-11-18T17:47:59.572268841Z[Etc/UTC]","0.0","55.74"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2021-11-18T17:48:55.360842047Z[Etc/UTC]","0.0","5.34"
"Managing the cart","Colin adds several items to the cart","SUCCESS","2021-11-18T17:49:00.711502659Z[Etc/UTC]","0.0","5.95"
"Managing the cart","Colin removes an item from the cart on the product catalog page 2","SUCCESS","2021-11-18T17:49:06.733853977Z[Etc/UTC]","0.0","6.08"
"Managing the cart","Colin removes an item from the cart overview","SUCCESS","2021-11-18T17:49:12.830068753Z[Etc/UTC]","0.0","4.43"
"Managing the cart","Colin views the details of a product and adds it to his cart 2","SUCCESS","2021-11-18T17:49:17.293950506Z[Etc/UTC]","0.0","3.55"
"Managing the cart","Colin sees every item he has added in the cart","SUCCESS","2021-11-18T17:49:20.870512691Z[Etc/UTC]","0.0","2.56"
"Browse the catalog","Colin reviews our range of products","SUCCESS","2021-11-18T17:47:59.470966588Z[Etc/UTC]","0.0","36.69"
"Browse the catalog","Colin views information about each product","SUCCESS","2021-11-18T17:48:36.776892514Z[Etc/UTC]","0.0","25.03"
"Browse the catalog","Colin views the details for specific products","SUCCESS","2021-11-18T17:49:01.86781561Z[Etc/UTC]","0.0","19.4"
"Browse the catalog","Sort products","SUCCESS","2021-11-18T17:49:21.280985565Z[Etc/UTC]","0.0","9.61"
"Completing a purchase","Colin enters incomplete name and address info","SUCCESS","2021-11-18T17:47:58.8988524Z[Etc/UTC]","0.0","65.7"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2021-11-18T17:49:04.64306497Z[Etc/UTC]","0.0","5.0"
"Completing a purchase","Colin confirms his order and is told that the items have been dispatched","SUCCESS","2021-11-18T17:49:09.655471253Z[Etc/UTC]","0.0","4.36"
"Calculating sales tax","Colin sees the correctly calculated sales tax for his order","SUCCESS","2021-11-18T17:47:59.658047989Z[Etc/UTC]","0.0","38.52"
"Calculating sales tax","Colin purchases two items so the total tax calculated includes tax for both items","SUCCESS","2021-11-18T17:48:38.260958044Z[Etc/UTC]","0.0","4.98"
